產品編號,訂單編號,訂單行號,成本,銷售額,稅額,運費,訂單日期,出貨日期
312,SO43989,1,2171.2942,3578.27,286.2616,89.4568,2005-08-15,2005-08-22
344,SO43990,1,1912.1544,3399.99,271.9992,84.9998,2005-08-15,2005-08-22
310,SO43991,1,2171.2942,3578.27,286.2616,89.4568,2005-08-15,2005-08-22
311,SO43992,1,2171.2942,3578.27,286.2616,89.4568,2005-08-15,2005-08-22
314,SO43993,1,2171.2942,3578.27,286.2616,89.4568,2005-08-17,2005-08-24
314,SO43994,1,2171.2942,3578.27,286.2616,89.4568,2005-08-18,2005-08-25
312,SO43995,1,2171.2942,3578.27,286.2616,89.4568,2005-08-18,2005-08-25
310,SO43996,1,2171.2942,3578.27,286.2616,89.4568,2005-08-18,2005-08-25
310,SO43997,1,2171.2942,3578.27,286.2616,89.4568,2005-08-18,2005-08-25
348,SO43998,1,1898.0944,3374.99,269.9992,84.3748,2005-08-18,2005-08-25
311,SO43999,1,2171.2942,3578.27,286.2616,89.4568,2005-08-18,2005-08-25
311,SO44000,1,2171.2942,3578.27,286.2616,89.4568,2005-08-19,2005-08-26
313,SO44001,1,2171.2942,3578.27,286.2616,89.4568,2005-08-19,2005-08-26
336,SO44002,1,413.1463,699.0982,55.9279,17.4775,2005-08-19,2005-08-26
342,SO44003,1,413.1463,699.0982,55.9279,17.4775,2005-08-19,2005-08-26
310,SO44004,1,2171.2942,3578.27,286.2616,89.4568,2005-08-19,2005-08-26
334,SO44005,1,413.1463,699.0982,55.9279,17.4775,2005-08-19,2005-08-26
310,SO44006,1,2171.2942,3578.27,286.2616,89.4568,2005-08-19,2005-08-26
320,SO44007,1,413.1463,699.0982,55.9279,17.4775,2005-08-19,2005-08-26
312,SO44008,1,2171.2942,3578.27,286.2616,89.4568,2005-08-20,2005-08-27
314,SO44009,1,2171.2942,3578.27,286.2616,89.4568,2005-08-20,2005-08-27
310,SO44010,1,2171.2942,3578.27,286.2616,89.4568,2005-08-20,2005-08-27
310,SO44011,1,2171.2942,3578.27,286.2616,89.4568,2005-08-20,2005-08-27
349,SO44012,1,1898.0944,3374.99,269.9992,84.3748,2005-08-20,2005-08-27
312,SO44013,1,2171.2942,3578.27,286.2616,89.4568,2005-08-20,2005-08-27
313,SO44014,1,2171.2942,3578.27,286.2616,89.4568,2005-08-21,2005-08-28
311,SO44015,1,2171.2942,3578.27,286.2616,89.4568,2005-08-21,2005-08-28
350,SO44016,1,1898.0944,3374.99,269.9992,84.3748,2005-08-21,2005-08-28
310,SO44017,1,2171.2942,3578.27,286.2616,89.4568,2005-08-21,2005-08-28
350,SO44018,1,1898.0944,3374.99,269.9992,84.3748,2005-08-21,2005-08-28
310,SO44019,1,2171.2942,3578.27,286.2616,89.4568,2005-08-21,2005-08-28
311,SO44020,1,2171.2942,3578.27,286.2616,89.4568,2005-08-21,2005-08-28
348,SO44021,1,1898.0944,3374.99,269.9992,84.3748,2005-08-21,2005-08-28
313,SO44022,1,2171.2942,3578.27,286.2616,89.4568,2005-08-22,2005-08-29
349,SO44023,1,1898.0944,3374.99,269.9992,84.3748,2005-08-22,2005-08-29
314,SO44024,1,2171.2942,3578.27,286.2616,89.4568,2005-08-22,2005-08-29
314,SO44025,1,2171.2942,3578.27,286.2616,89.4568,2005-08-22,2005-08-29
310,SO44026,1,2171.2942,3578.27,286.2616,89.4568,2005-08-22,2005-08-29
310,SO44027,1,2171.2942,3578.27,286.2616,89.4568,2005-08-23,2005-08-30
312,SO44028,1,2171.2942,3578.27,286.2616,89.4568,2005-08-23,2005-08-30
350,SO44029,1,1898.0944,3374.99,269.9992,84.3748,2005-08-23,2005-08-30
311,SO44030,1,2171.2942,3578.27,286.2616,89.4568,2005-08-24,2005-08-31
313,SO44031,1,2171.2942,3578.27,286.2616,89.4568,2005-08-24,2005-08-31
344,SO44032,1,1912.1544,3399.99,271.9992,84.9998,2005-08-24,2005-08-31
314,SO44033,1,2171.2942,3578.27,286.2616,89.4568,2005-08-24,2005-08-31
313,SO44034,1,2171.2942,3578.27,286.2616,89.4568,2005-08-24,2005-08-31
312,SO44035,1,2171.2942,3578.27,286.2616,89.4568,2005-08-24,2005-08-31
310,SO44036,1,2171.2942,3578.27,286.2616,89.4568,2005-08-24,2005-08-31
328,SO44037,1,413.1463,699.0982,55.9279,17.4775,2005-08-24,2005-08-31
344,SO44038,1,1912.1544,3399.99,271.9992,84.9998,2005-08-24,2005-08-31
342,SO44039,1,413.1463,699.0982,55.9279,17.4775,2005-08-25,2005-09-01
351,SO44040,1,1898.0944,3374.99,269.9992,84.3748,2005-08-25,2005-09-01
313,SO44041,1,2171.2942,3578.27,286.2616,89.4568,2005-08-25,2005-09-01
313,SO44042,1,2171.2942,3578.27,286.2616,89.4568,2005-08-26,2005-09-02
311,SO44043,1,2171.2942,3578.27,286.2616,89.4568,2005-08-26,2005-09-02
314,SO44044,1,2171.2942,3578.27,286.2616,89.4568,2005-08-26,2005-09-02
344,SO44045,1,1912.1544,3399.99,271.9992,84.9998,2005-08-26,2005-09-02
313,SO44046,1,2171.2942,3578.27,286.2616,89.4568,2005-08-26,2005-09-02
344,SO44047,1,1912.1544,3399.99,271.9992,84.9998,2005-08-26,2005-09-02
314,SO44048,1,2171.2942,3578.27,286.2616,89.4568,2005-08-26,2005-09-02
314,SO44049,1,2171.2942,3578.27,286.2616,89.4568,2005-08-27,2005-09-03
310,SO44050,1,2171.2942,3578.27,286.2616,89.4568,2005-08-27,2005-09-03
310,SO44051,1,2171.2942,3578.27,286.2616,89.4568,2005-08-28,2005-09-04
314,SO44052,1,2171.2942,3578.27,286.2616,89.4568,2005-08-28,2005-09-04
338,SO44053,1,413.1463,699.0982,55.9279,17.4775,2005-08-29,2005-09-05
314,SO44054,1,2171.2942,3578.27,286.2616,89.4568,2005-08-29,2005-09-05
310,SO44055,1,2171.2942,3578.27,286.2616,89.4568,2005-08-29,2005-09-05
314,SO44056,1,2171.2942,3578.27,286.2616,89.4568,2005-08-29,2005-09-05
338,SO44057,1,413.1463,699.0982,55.9279,17.4775,2005-08-29,2005-09-05
350,SO44058,1,1898.0944,3374.99,269.9992,84.3748,2005-08-29,2005-09-05
313,SO44059,1,2171.2942,3578.27,286.2616,89.4568,2005-08-29,2005-09-05
342,SO44060,1,413.1463,699.0982,55.9279,17.4775,2005-08-29,2005-09-05
310,SO44061,1,2171.2942,3578.27,286.2616,89.4568,2005-08-30,2005-09-06
310,SO44062,1,2171.2942,3578.27,286.2616,89.4568,2005-08-30,2005-09-06
344,SO44063,1,1912.1544,3399.99,271.9992,84.9998,2005-08-30,2005-09-06
310,SO44064,1,2171.2942,3578.27,286.2616,89.4568,2005-08-30,2005-09-06
310,SO44065,1,2171.2942,3578.27,286.2616,89.4568,2005-08-30,2005-09-06
344,SO44066,1,1912.1544,3399.99,271.9992,84.9998,2005-08-30,2005-09-06
310,SO44067,1,2171.2942,3578.27,286.2616,89.4568,2005-08-30,2005-09-06
313,SO44068,1,2171.2942,3578.27,286.2616,89.4568,2005-08-31,2005-09-07
349,SO44069,1,1898.0944,3374.99,269.9992,84.3748,2005-08-31,2005-09-07
349,SO44070,1,1898.0944,3374.99,269.9992,84.3748,2005-08-31,2005-09-07
313,SO44071,1,2171.2942,3578.27,286.2616,89.4568,2005-08-31,2005-09-07
311,SO44072,1,2171.2942,3578.27,286.2616,89.4568,2005-08-31,2005-09-07
351,SO44073,1,1898.0944,3374.99,269.9992,84.3748,2005-08-31,2005-09-07
310,SO44134,1,2171.2942,3578.27,286.2616,89.4568,2005-09-01,2005-09-08
310,SO44135,1,2171.2942,3578.27,286.2616,89.4568,2005-09-01,2005-09-08
311,SO44136,1,2171.2942,3578.27,286.2616,89.4568,2005-09-01,2005-09-08
314,SO44137,1,2171.2942,3578.27,286.2616,89.4568,2005-09-01,2005-09-08
310,SO44138,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
311,SO44139,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
311,SO44140,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
313,SO44141,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
313,SO44142,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
313,SO44143,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
312,SO44144,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
310,SO44145,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
313,SO44146,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
310,SO44147,1,2171.2942,3578.27,286.2616,89.4568,2005-09-02,2005-09-09
